文件名,楼层,内容,来源题名,页面链接,原图链接,署名/机构,使用状态,资料可靠度,备注
01_F1_main_buddha.png,一层,主尊释迦牟尼佛与内槽空间,应县木塔内彩塑壁画,https://wenhua.youth.cn/zt/jb/jbwh/202410/t20241021_15594169.htm,https://prod-oss.chinagoldcoin.net/trantor/attachments/163b9b02-bdf3-4821-b9a7-b10cc29f74c1.png,中国青年网／中国金币网原文图片,研究与内部设计参考；公开使用需另核授权,高,可作为现状材质、色彩与尺度参考
02_F1_wall_guardian.png,一层,壁画护法局部,应县木塔内彩塑壁画,https://wenhua.youth.cn/zt/jb/jbwh/202410/t20241021_15594169.htm,https://prod-oss.chinagoldcoin.net/trantor/attachments/d58938d2-d6fe-4b58-b0b6-07b0cffe26bf.png,中国青年网／中国金币网原文图片,研究与内部设计参考；公开使用需另核授权,高,壁画服饰与线描参考
03_F1_female_donors.png,一层,女性供养人像,应县木塔内彩塑壁画,https://wenhua.youth.cn/zt/jb/jbwh/202410/t20241021_15594169.htm,https://prod-oss.chinagoldcoin.net/trantor/attachments/1a520bd3-f48b-4eae-a8b7-532a904dd73c.png,中国青年网／中国金币网原文图片,研究与内部设计参考；公开使用需另核授权,高,可用于辽金服饰与人物故事板
04_F1_male_donors.png,一层,男性供养人像,应县木塔内彩塑壁画,https://wenhua.youth.cn/zt/jb/jbwh/202410/t20241021_15594169.htm,https://prod-oss.chinagoldcoin.net/trantor/attachments/b2e07124-e366-4568-aa37-08e47d477683.png,中国青年网／中国金币网原文图片,研究与内部设计参考；公开使用需另核授权,高,可用于辽金服饰与人物故事板
05_F2_group.png,二层,中央主佛、胁侍、文殊普贤群像,应县木塔内彩塑壁画,https://wenhua.youth.cn/zt/jb/jbwh/202410/t20241021_15594169.htm,https://prod-oss.chinagoldcoin.net/trantor/attachments/82e524c6-f9e7-4bf2-87f2-f10a2f362290.png,中国青年网／中国金币网原文图片,研究与内部设计参考；公开使用需另核授权,高,二层群像现状总览
06_F3_group.png,三层,四方佛群像,应县木塔内彩塑壁画,https://wenhua.youth.cn/zt/jb/jbwh/202410/t20241021_15594169.htm,https://prod-oss.chinagoldcoin.net/trantor/attachments/89536584-5d70-4e4b-8d4e-42ce5ce3c8aa.png,中国青年网／中国金币网原文图片,研究与内部设计参考；公开使用需另核授权,高,三层群像现状总览
07_F4_group.png,四层,主佛、二弟子、文殊普贤群像,应县木塔内彩塑壁画,https://wenhua.youth.cn/zt/jb/jbwh/202410/t20241021_15594169.htm,https://prod-oss.chinagoldcoin.net/trantor/attachments/f1f9e802-93ba-4c7f-9cf9-2290530b2951.png,中国青年网／中国金币网原文图片,研究与内部设计参考；公开使用需另核授权,高,四层群像现状总览
08_F5_group.png,五层,毗卢遮那佛与八菩萨,应县木塔内彩塑壁画,https://wenhua.youth.cn/zt/jb/jbwh/202410/t20241021_15594169.htm,https://prod-oss.chinagoldcoin.net/trantor/attachments/4b9ab72b-4ac9-428e-8d81-41ef4c29a20a.png,中国青年网／中国金币网原文图片,研究与内部设计参考；公开使用需另核授权,高,五层群像现状总览
09_all_floors_3d.jpg,全塔,五层室内塑像三维关系图,天地圆方 塔像合一——应县木塔室内空间与塑像群构图比例探析,https://m.thepaper.cn/newsDetail_forward_14226434,https://imagepphcloud.thepaper.cn/pph/image/150/595/803.jpg,王南、王卓男、郑虹玉／《建筑史学刊》2021年第2期；澎湃镜像,研究与内部设计参考；引用须注明论文，公开传播需核版权,高,2021年实测研究图；尺寸与构图的重要依据
10_F1_proportion.jpg,一层,一层释迦牟尼佛比例分析图,天地圆方 塔像合一——应县木塔室内空间与塑像群构图比例探析,https://m.thepaper.cn/newsDetail_forward_14226434,https://imagepphcloud.thepaper.cn/pph/image/150/595/812.jpg,王南、王卓男、郑虹玉／《建筑史学刊》2021年第2期；澎湃镜像,研究与内部设计参考；引用须注明论文，公开传播需核版权,高,2021年实测研究图；尺寸与构图的重要依据
11_F1_murals.jpg,一层,六铺壁画佛像位置与尺度图,天地圆方 塔像合一——应县木塔室内空间与塑像群构图比例探析,https://m.thepaper.cn/newsDetail_forward_14226434,https://imagepphcloud.thepaper.cn/pph/image/150/595/814.jpg,王南、王卓男、郑虹玉／《建筑史学刊》2021年第2期；澎湃镜像,研究与内部设计参考；引用须注明论文，公开传播需核版权,高,2021年实测研究图；尺寸与构图的重要依据
12_F2_groupstudy.jpg,二层,二层塑像群实测与构图分析,天地圆方 塔像合一——应县木塔室内空间与塑像群构图比例探析,https://m.thepaper.cn/newsDetail_forward_14226434,https://imagepphcloud.thepaper.cn/pph/image/150/595/816.jpg,王南、王卓男、郑虹玉／《建筑史学刊》2021年第2期；澎湃镜像,研究与内部设计参考；引用须注明论文，公开传播需核版权,高,2021年实测研究图；尺寸与构图的重要依据
13_F2_manjusri.jpg,二层,文殊菩萨实测图,天地圆方 塔像合一——应县木塔室内空间与塑像群构图比例探析,https://m.thepaper.cn/newsDetail_forward_14226434,https://imagepphcloud.thepaper.cn/pph/image/150/595/828.jpg,王南、王卓男、郑虹玉／《建筑史学刊》2021年第2期；澎湃镜像,研究与内部设计参考；引用须注明论文，公开传播需核版权,高,2021年实测研究图；尺寸与构图的重要依据
14_F2_samantabhadra.jpg,二层,普贤菩萨实测图,天地圆方 塔像合一——应县木塔室内空间与塑像群构图比例探析,https://m.thepaper.cn/newsDetail_forward_14226434,https://imagepphcloud.thepaper.cn/pph/image/150/595/832.jpg,王南、王卓男、郑虹玉／《建筑史学刊》2021年第2期；澎湃镜像,研究与内部设计参考；引用须注明论文，公开传播需核版权,高,2021年实测研究图；尺寸与构图的重要依据
15_F2_attendant_nw.jpg,二层,西北胁侍菩萨实测图,天地圆方 塔像合一——应县木塔室内空间与塑像群构图比例探析,https://m.thepaper.cn/newsDetail_forward_14226434,https://imagepphcloud.thepaper.cn/pph/image/150/595/838.jpg,王南、王卓男、郑虹玉／《建筑史学刊》2021年第2期；澎湃镜像,研究与内部设计参考；引用须注明论文，公开传播需核版权,高,2021年实测研究图；尺寸与构图的重要依据
16_F2_attendant_ne.jpg,二层,东北胁侍菩萨实测图,天地圆方 塔像合一——应县木塔室内空间与塑像群构图比例探析,https://m.thepaper.cn/newsDetail_forward_14226434,https://imagepphcloud.thepaper.cn/pph/image/150/595/842.jpg,王南、王卓男、郑虹玉／《建筑史学刊》2021年第2期；澎湃镜像,研究与内部设计参考；引用须注明论文，公开传播需核版权,高,2021年实测研究图；尺寸与构图的重要依据
17_F3_groupstudy.jpg,三层,四方佛群构图分析,天地圆方 塔像合一——应县木塔室内空间与塑像群构图比例探析,https://m.thepaper.cn/newsDetail_forward_14226434,https://imagepphcloud.thepaper.cn/pph/image/150/595/844.jpg,王南、王卓男、郑虹玉／《建筑史学刊》2021年第2期；澎湃镜像,研究与内部设计参考；引用须注明论文，公开传播需核版权,高,2021年实测研究图；尺寸与构图的重要依据
18_F3_proportion_a.jpg,三层,三层四方佛比例分析之一,天地圆方 塔像合一——应县木塔室内空间与塑像群构图比例探析,https://m.thepaper.cn/newsDetail_forward_14226434,https://imagepphcloud.thepaper.cn/pph/image/150/595/846.jpg,王南、王卓男、郑虹玉／《建筑史学刊》2021年第2期；澎湃镜像,研究与内部设计参考；引用须注明论文，公开传播需核版权,高,2021年实测研究图；尺寸与构图的重要依据
19_F3_proportion_b.jpg,三层,三层四方佛比例分析之二,天地圆方 塔像合一——应县木塔室内空间与塑像群构图比例探析,https://m.thepaper.cn/newsDetail_forward_14226434,https://imagepphcloud.thepaper.cn/pph/image/150/595/856.jpg,王南、王卓男、郑虹玉／《建筑史学刊》2021年第2期；澎湃镜像,研究与内部设计参考；引用须注明论文，公开传播需核版权,高,2021年实测研究图；尺寸与构图的重要依据
20_F4_groupstudy.jpg,四层,四层塑像群现状与构图,天地圆方 塔像合一——应县木塔室内空间与塑像群构图比例探析,https://m.thepaper.cn/newsDetail_forward_14226434,https://imagepphcloud.thepaper.cn/pph/image/150/595/857.jpg,王南、王卓男、郑虹玉／《建筑史学刊》2021年第2期；澎湃镜像,研究与内部设计参考；引用须注明论文，公开传播需核版权,高,2021年实测研究图；尺寸与构图的重要依据
21_F4_proportion.jpg,四层,四层塑像群比例分析,天地圆方 塔像合一——应县木塔室内空间与塑像群构图比例探析,https://m.thepaper.cn/newsDetail_forward_14226434,https://imagepphcloud.thepaper.cn/pph/image/150/595/872.jpg,王南、王卓男、郑虹玉／《建筑史学刊》2021年第2期；澎湃镜像,研究与内部设计参考；引用须注明论文，公开传播需核版权,高,2021年实测研究图；尺寸与构图的重要依据
22_F5_groupstudy.jpg,五层,五层九尊曼荼罗构图,天地圆方 塔像合一——应县木塔室内空间与塑像群构图比例探析,https://m.thepaper.cn/newsDetail_forward_14226434,https://imagepphcloud.thepaper.cn/pph/image/150/595/875.jpg,王南、王卓男、郑虹玉／《建筑史学刊》2021年第2期；澎湃镜像,研究与内部设计参考；引用须注明论文，公开传播需核版权,高,2021年实测研究图；尺寸与构图的重要依据
23_F5_vairocana_a.jpg,五层,毗卢遮那佛现状与实测之一,天地圆方 塔像合一——应县木塔室内空间与塑像群构图比例探析,https://m.thepaper.cn/newsDetail_forward_14226434,https://imagepphcloud.thepaper.cn/pph/image/150/595/881.jpg,王南、王卓男、郑虹玉／《建筑史学刊》2021年第2期；澎湃镜像,研究与内部设计参考；引用须注明论文，公开传播需核版权,高,2021年实测研究图；尺寸与构图的重要依据
24_F5_vairocana_b.jpg,五层,毗卢遮那佛现状与实测之二,天地圆方 塔像合一——应县木塔室内空间与塑像群构图比例探析,https://m.thepaper.cn/newsDetail_forward_14226434,https://imagepphcloud.thepaper.cn/pph/image/150/595/889.jpg,王南、王卓男、郑虹玉／《建筑史学刊》2021年第2期；澎湃镜像,研究与内部设计参考；引用须注明论文，公开传播需核版权,高,2021年实测研究图；尺寸与构图的重要依据
